age,marital,balance,housing,loan,duration,campaign,previous,poutcome,deposit
59,married,2343,yes,no,1042,1,0,unknown,yes
56,married,45,no,no,1467,1,0,unknown,yes
41,married,1270,yes,no,1389,1,0,unknown,yes
55,married,2476,yes,no,579,1,0,unknown,yes
54,married,184,no,no,673,2,0,unknown,yes
42,single,0,yes,yes,562,2,0,unknown,yes
56,married,830,yes,yes,1201,1,0,unknown,yes
60,divorced,545,yes,no,1030,1,0,unknown,yes
37,married,1,yes,no,608,1,0,unknown,yes
28,single,5090,yes,no,1297,3,0,unknown,yes
38,single,100,yes,no,786,1,0,unknown,yes
30,married,309,yes,no,1574,2,0,unknown,yes
29,married,199,yes,yes,1689,4,0,unknown,yes
46,single,460,yes,no,1102,2,0,unknown,yes
31,single,703,yes,no,943,2,0,unknown,yes
35,divorced,3837,yes,no,1084,1,0,unknown,yes
32,single,611,yes,no,541,3,0,unknown,yes
49,married,-8,yes,no,1119,1,0,unknown,yes
41,married,55,yes,no,1120,2,0,unknown,yes
49,divorced,168,yes,yes,513,1,0,unknown,yes
28,divorced,785,yes,no,442,2,0,unknown,yes
43,single,2067,yes,no,756,1,0,unknown,yes
43,divorced,388,yes,no,2087,2,0,unknown,yes
43,married,-192,yes,no,1120,2,0,unknown,yes
37,single,381,yes,no,985,2,0,unknown,yes
35,single,40,yes,no,617,4,0,unknown,yes
31,single,22,yes,no,483,3,0,unknown,yes
43,single,3,yes,no,929,3,0,unknown,yes
31,married,307,yes,no,538,1,0,unknown,yes
28,single,759,yes,no,710,1,0,unknown,yes
32,married,-1,yes,no,653,1,0,unknown,yes
60,married,65,yes,no,1028,2,0,unknown,yes
26,single,82,yes,no,654,1,0,unknown,yes
40,married,10,yes,no,1692,2,0,unknown,yes
33,divorced,390,yes,no,665,2,0,unknown,yes
32,single,311,no,no,757,2,0,unknown,yes
35,married,414,no,no,504,4,0,unknown,yes
33,divorced,5,yes,no,1346,1,0,unknown,yes
38,married,119,yes,no,568,4,0,unknown,yes
23,single,4,yes,no,395,2,0,unknown,yes
60,married,1262,yes,yes,1015,1,0,unknown,yes
48,married,1949,yes,no,683,2,0,unknown,yes
45,divorced,-395,yes,no,470,1,0,unknown,yes
36,married,1165,yes,no,1001,4,0,unknown,yes
52,married,2240,yes,no,845,1,0,unknown,yes
35,divorced,300,yes,no,945,2,0,unknown,yes
43,married,3285,yes,no,1721,2,0,unknown,yes
52,married,3923,yes,no,942,3,0,unknown,yes
53,divorced,1443,yes,no,476,1,0,unknown,yes
48,divorced,24,yes,no,832,1,0,unknown,yes
41,single,1618,yes,no,1553,1,0,unknown,yes
39,divorced,517,yes,yes,1328,1,0,unknown,yes
59,married,1521,yes,yes,1125,2,0,unknown,yes
41,married,2823,yes,no,858,1,0,unknown,yes
48,married,1405,yes,no,629,2,0,unknown,yes
40,married,1535,yes,no,704,1,0,unknown,yes
48,married,1596,yes,no,760,1,0,unknown,yes
60,married,1542,yes,no,930,1,0,unknown,yes
40,single,3652,yes,no,1028,2,0,unknown,yes
57,married,-1,no,no,850,2,0,unknown,yes
51,married,7180,yes,no,927,1,0,unknown,yes
41,divorced,5291,yes,no,1423,3,0,unknown,yes
41,married,1384,yes,no,1162,4,0,unknown,yes
52,divorced,-191,yes,no,755,1,0,unknown,yes
59,married,320,yes,no,695,1,0,unknown,yes
44,married,146,yes,no,483,1,0,unknown,yes
49,married,341,yes,yes,520,2,0,unknown,yes
40,married,-9,yes,no,920,2,0,unknown,yes
41,married,-306,yes,no,500,1,0,unknown,yes
44,married,4580,yes,no,911,2,0,unknown,yes
60,single,313,yes,no,920,2,0,unknown,yes
29,married,10576,no,no,1224,2,0,unknown,yes
41,divorced,-233,yes,no,1156,2,0,unknown,yes
41,married,2453,yes,no,1052,1,0,unknown,yes
42,single,1364,yes,no,1867,6,0,unknown,yes
36,single,281,yes,no,515,1,0,unknown,yes
39,married,94,yes,yes,813,1,0,unknown,yes
31,single,144,yes,no,676,1,0,unknown,yes
26,married,246,yes,no,1143,3,0,unknown,yes
31,married,92,yes,no,688,1,0,unknown,yes
29,single,163,yes,yes,803,1,0,unknown,yes
37,divorced,49,yes,no,619,2,0,unknown,yes
33,single,-416,yes,no,767,2,0,unknown,yes
24,single,409,yes,no,912,1,0,unknown,yes
50,divorced,363,yes,no,1340,1,0,unknown,yes
27,single,3706,yes,no,897,1,0,unknown,yes
54,single,4393,yes,no,1297,3,0,unknown,yes
30,single,863,yes,no,1193,5,0,unknown,yes
34,married,695,yes,yes,1064,4,0,unknown,yes
37,single,792,yes,no,1187,4,0,unknown,yes
41,single,1020,yes,no,882,1,0,unknown,yes
47,married,863,yes,no,943,2,0,unknown,yes
31,married,97,yes,no,607,1,0,unknown,yes
31,married,754,yes,no,1022,4,0,unknown,yes
43,divorced,1040,yes,no,552,3,0,unknown,yes
37,divorced,122,yes,no,1622,2,0,unknown,yes
30,single,880,yes,yes,967,6,0,unknown,yes
41,married,501,yes,no,579,5,0,unknown,yes
36,married,4438,yes,no,446,1,0,unknown,yes
35,divorced,0,yes,no,1205,1,0,unknown,yes
29,single,271,yes,no,1882,2,0,unknown,yes
35,married,102,yes,no,1334,1,0,unknown,yes
31,married,2,yes,no,182,2,0,unknown,yes
35,married,4170,yes,no,1777,1,0,unknown,yes
34,single,85,yes,no,1182,4,0,unknown,yes
31,single,431,yes,yes,1045,1,0,unknown,yes
44,divorced,982,yes,no,650,3,0,unknown,yes
36,married,408,yes,yes,1063,2,0,unknown,yes
35,married,4822,yes,no,843,2,0,unknown,yes
41,married,1250,yes,no,1392,2,0,unknown,yes
31,single,216,yes,no,565,1,0,unknown,yes
34,married,1207,yes,no,905,1,0,unknown,yes
32,married,791,yes,no,783,2,0,unknown,yes
36,married,849,yes,yes,958,2,0,unknown,yes
30,single,239,yes,no,412,1,0,unknown,yes
37,single,1211,yes,no,795,1,0,unknown,yes
36,married,599,yes,no,649,2,0,unknown,yes
31,single,825,yes,no,506,2,0,unknown,yes
27,married,2183,yes,yes,857,1,0,unknown,yes
34,married,4499,no,no,1681,1,0,unknown,yes
30,single,1289,yes,no,1697,2,0,unknown,yes
32,single,4665,yes,no,860,2,0,unknown,yes
37,single,3326,yes,no,799,1,0,unknown,yes
32,married,783,yes,no,923,3,0,unknown,yes
33,married,0,yes,no,521,3,0,unknown,yes
35,married,994,yes,no,1349,8,0,unknown,yes
35,divorced,1354,yes,no,736,2,0,unknown,yes
30,single,239,yes,no,785,1,0,unknown,yes
45,divorced,-311,yes,no,1030,1,0,unknown,yes
45,married,149,yes,no,893,3,0,unknown,yes
33,married,1464,yes,no,588,3,0,unknown,yes
44,divorced,5773,no,no,597,6,0,unknown,yes
40,married,278,yes,no,1015,3,0,unknown,yes
31,married,2910,yes,no,1392,2,0,unknown,yes
30,married,541,yes,no,414,2,0,unknown,yes
44,divorced,1262,yes,no,788,11,0,unknown,yes
34,married,-538,yes,no,682,1,0,unknown,yes
37,married,125,no,no,679,2,0,unknown,yes
28,single,0,yes,no,1560,2,0,unknown,yes
32,single,620,yes,no,1234,3,0,unknown,yes
37,divorced,316,yes,no,642,2,0,unknown,yes
34,married,2287,yes,no,895,4,0,unknown,yes
38,divorced,198,yes,no,431,2,0,unknown,yes
28,single,460,yes,no,741,6,0,unknown,yes
31,divorced,1145,yes,no,1272,4,0,unknown,yes
