state,statecode,district_code,cdid,candidate_name,party,winner,incumbent,votes,percent,p_per
Alabama,01,01,0101,Carl,Republican,True,True,139854,0.842,0.842
Alabama,01,01,0101,Remrey,Libertarian,False,False,26197,0.158,0.158
Alabama,01,02,0102,Moore,Republican,True,True,137193,0.692,0.692
Alabama,01,02,0102,Harvey-Hall,Democratic,False,False,57800,0.291,-0.291
Alabama,01,02,0102,Realz,Libertarian,False,False,3380,0.017,0.017
Alabama,01,03,0103,Rogers,Republican,True,True,135448,0.713,0.713
Alabama,01,03,0103,Veasey,Democratic,False,False,47770,0.251,-0.251
Alabama,01,03,0103,Bell,,False,False,3826,0.02,0.02
Alabama,01,03,0103,Casson,Libertarian,False,False,3027,0.016,0.016
Alabama,01,04,0104,Aderholt,Republican,True,True,164371,0.842,0.842
Alabama,01,04,0104,Neighbors,Democratic,False,False,26628,0.136,-0.136
Alabama,01,04,0104,Cochran,Libertarian,False,False,4294,0.022,0.022
Alabama,01,05,0105,Strong,Republican,True,False,141988,0.672,0.672
Alabama,01,05,0105,Warner-Stanton,Democratic,False,False,62466,0.296,-0.296
Alabama,01,05,0105,Greer,Libertarian,False,False,6740,0.032,0.032
Alabama,01,06,0106,Palmer,Republican,True,True,154058,0.847,0.847
Alabama,01,06,0106,Chieffo,Libertarian,False,False,27792,0.153,0.153
Alabama,01,07,0107,Sewell,Democratic,True,True,123060,0.636,-0.636
Alabama,01,07,0107,Nichols,Republican,False,False,67353,0.348,0.348
Alabama,01,07,0107,Goodman,Libertarian,False,False,3207,0.017,0.017
Alaska,02,00,0200,Mary Peltola,Democratic,True,True,136893,0.549,-0.549
Alaska,02,00,0200,Sarah Palin,Republican,False,False,112255,0.451,0.451
Alaska,02,00,0200,Nick Begich,Republican,False,False,0,0.0,0.0
Alaska,02,00,0200,Chris Bye,Libertarian,False,False,0,0.0,0.0
Alaska,02,00,0200,Total Write-Ins,,False,False,0,0.0,0.0
Arizona,04,01,0401,Schweikert,Republican,True,True,182336,0.504,0.504
Arizona,04,01,0401,Hodge,Democratic,False,False,179141,0.496,-0.496
Arizona,04,02,0402,Crane,Republican,True,False,174169,0.539,0.539
Arizona,04,02,0402,O'Halleran,Democratic,False,True,149150,0.461,-0.461
Arizona,04,03,0403,Gallego,Democratic,True,True,108599,0.77,-0.77
Arizona,04,03,0403,Zink,Republican,False,False,32475,0.23,0.23
Arizona,04,04,0404,Stanton,Democratic,True,True,148941,0.561,-0.561
Arizona,04,04,0404,Cooper,Republican,False,False,116521,0.439,0.439
Arizona,04,05,0405,Biggs,Republican,True,True,182464,0.567,0.567
Arizona,04,05,0405,Ramos,Democratic,False,False,120243,0.374,-0.374
