Date,GOOG,APPL,AMZN,TSLA,NFLX,FB,SBUX
2015-04-29,546.905029,128.300003,426.02999900000003,227.63000499999998,79.644287,79.519997,50.200001
2015-04-30,535.049988,124.58000200000001,419.23999,225.169998,79.12428299999999,78.32,49.43
2015-05-01,532.099976,125.300003,416.0,220.41000400000001,78.894287,78.110001,49.68
2015-05-04,535.0599980000001,128.259995,422.420013,227.11000099999998,78.900002,78.629997,50.27
2015-05-05,530.390991,125.779999,421.01998899999995,229.13000499999998,80.757141,77.220001,49.360001000000004
2015-05-06,521.085022,123.360001,414.549988,228.19999700000002,79.521431,77.050003,48.57
2015-05-07,521.75,124.019997,422.85000599999995,220.25,79.457146,77.559998,48.720001
2015-05-08,525.0,126.110001,430.170013,233.69999700000002,80.964287,78.029999,49.459998999999996
2015-05-11,535.400024,125.629997,431.369995,235.309998,82.185715,77.93,49.380001
2015-05-12,525.26001,124.82,426.709991,238.190002,82.992859,76.790001,49.0
2015-05-13,528.655029,125.870003,425.799988,242.25,82.691429,77.650002,49.43
2015-05-14,532.409973,127.160004,427.01000999999997,241.25,82.33000200000001,78.66999799999999,49.669998
2015-05-15,530.380005,128.21000700000002,424.299988,242.5,85.755714,80.18,50.389998999999996
2015-05-18,528.849976,128.360001,421.459991,246.0,87.024284,80.230003,50.560001
2015-05-19,533.039978,129.639999,420.630005,246.149994,87.809998,80.550003,50.959998999999996
2015-05-20,532.971985,129.33999599999999,418.359985,241.36999500000002,87.362854,79.459999,50.43
2015-05-21,535.97998,129.830002,428.0,242.36000099999998,88.181427,80.08000200000001,50.779999
2015-05-22,539.51001,131.399994,427.60998499999994,245.00999500000003,88.692856,80.25,51.209998999999996
2015-05-26,529.880005,129.119995,422.0,246.5,87.785713,79.08000200000001,50.66
2015-05-27,531.710022,130.050003,425.01000999999997,245.55000299999998,87.928574,79.43,50.91
2015-05-28,536.25,131.100006,425.47000099999997,245.05000299999998,88.93,80.0,51.450001
2015-05-29,531.450012,129.899994,427.23001100000005,249.42999300000002,88.955711,78.879997,51.450001
2015-06-01,529.76001,130.050003,426.200012,247.47000099999997,87.944283,78.660004,51.669998
2015-06-02,531.330017,129.320007,426.25,246.30000299999998,88.405716,79.559998,51.66
2015-06-03,537.1099849999999,129.899994,432.75,247.00999500000003,88.644287,81.25,51.669998
2015-06-04,534.320007,128.91000400000001,429.26000999999997,245.710007,88.042854,81.510002,51.57
2015-06-05,532.52002,128.360001,426.5,245.67999300000002,89.12571700000001,81.510002,51.27
2015-06-08,526.23999,126.83000200000001,421.42999299999997,250.309998,88.995712,80.129997,51.490002000000004
2015-06-09,523.01001,125.620003,419.140015,254.13999900000002,89.334282,79.32,51.099998
2015-06-10,529.349976,127.849998,425.660004,248.5,93.225716,80.809998,51.66
2015-06-11,533.02002,128.479996,431.47000099999997,250.42999300000002,94.08714300000001,81.360001,52.439999
2015-06-12,530.159973,127.110001,428.26000999999997,250.210007,94.12428299999999,81.199997,52.16
2015-06-15,524.0,125.709999,422.64001500000006,246.00999500000003,91.658569,80.07,52.009997999999996
2015-06-16,525.5599980000001,126.370003,422.670013,249.100006,93.691429,80.449997,52.200001
2015-06-17,525.099976,126.739998,424.75,252.020004,93.957146,81.339996,52.720001
2015-06-18,530.789978,127.220001,429.410004,260.019989,94.36856800000001,81.57,53.400002
2015-06-19,533.01001,126.400002,433.23999000000003,260.100006,93.821426,82.120003,53.84
2015-06-22,537.530029,127.08000200000001,434.17999299999997,255.690002,94.188568,83.309998,53.880001
2015-06-23,535.25,126.879997,433.69000199999994,258.570007,95.75,84.760002,53.720001
2015-06-24,535.659973,127.120003,440.23001100000005,263.72000099999997,96.397141,87.449997,53.52
2015-06-25,535.22998,127.5,436.39001500000006,265.25,93.458572,87.839996,54.0
2015-06-26,531.349976,126.510002,435.05999800000006,266.0,93.08856999999999,86.83000200000001,54.299999
2015-06-29,520.539978,124.480003,429.0,260.700012,91.117142,85.730003,53.509997999999996
2015-06-30,520.5,124.860001,430.459991,264.0,92.785713,85.57,53.139998999999996
2015-07-01,518.22998,125.989998,435.579987,267.850006,93.218575,86.489998,53.599998
2015-07-02,521.080017,125.769997,433.48001100000005,273.309998,93.214287,86.339996,53.950001
2015-07-06,519.0,124.849998,433.51998899999995,276.299988,93.339996,86.389999,53.630001
2015-07-07,515.179993,123.769997,425.57000700000003,260.769989,92.622856,85.230003,53.360001000000004
2015-07-08,516.1099849999999,122.540001,428.829987,254.309998,92.284286,85.449997,53.310001
2015-07-09,520.349976,119.220001,434.14999400000005,256.790009,94.285713,85.650002,53.880001
2015-07-10,525.549988,121.209999,439.0,257.820007,96.900002,86.769997,54.18
2015-07-13,532.400024,124.32,447.540009,256.049988,98.078575,88.41999799999999,54.900002
2015-07-14,546.710022,125.040001,458.160004,260.51001,99.652855,89.650002,55.52
2015-07-15,556.789978,125.58000200000001,460.200012,262.079987,97.050003,89.41999799999999,55.290001000000004
2015-07-16,565.0,127.349998,464.799988,263.160004,107.68,89.769997,55.66
2015-07-17,645.0,128.309998,477.25,268.25,114.239998,92.540001,55.369999
2015-07-20,653.01001,130.699997,485.39999400000005,272.540009,110.139999,95.360001,55.700001
2015-07-21,654.299988,130.320007,482.549988,266.549988,109.32,97.139999,55.779999
2015-07-22,659.0,121.989998,484.89999400000005,260.859985,110.559998,95.91999799999999,56.25
2015-07-23,641.0,125.059998,475.700012,265.269989,109.839996,94.809998,56.16
2015-07-24,622.52002,123.900002,529.349976,263.920013,108.900002,95.879997,57.150002
2015-07-27,620.5,122.120003,526.599976,250.789993,106.25,93.83000200000001,56.849998
2015-07-28,623.3099980000001,122.550003,523.119995,251.83999599999999,103.879997,93.309998,56.560001
2015-07-29,622.650024,122.269997,525.02002,262.0,105.400002,94.739998,57.139998999999996
