date,symbol,return
1/1/2018,GOOG,1
1/8/2018,GOOG,1.018172278
1/15/2018,GOOG,1.032007866
1/22/2018,GOOG,1.066782783
1/29/2018,GOOG,1.008773164
2/5/2018,GOOG,0.941527674
2/12/2018,GOOG,0.993259183
2/19/2018,GOOG,1.022282155
2/26/2018,GOOG,0.978852021
3/5/2018,GOOG,1.052448273
3/12/2018,GOOG,1.030392931
3/19/2018,GOOG,0.926821104
3/26/2018,GOOG,0.936093245
4/2/2018,GOOG,0.913638711
4/9/2018,GOOG,0.933806954
4/16/2018,GOOG,0.973444726
4/23/2018,GOOG,0.934514636
4/30/2018,GOOG,0.950990247
5/7/2018,GOOG,0.996398238
5/14/2018,GOOG,0.967456887
5/21/2018,GOOG,0.975894372
5/28/2018,GOOG,1.015668255
6/4/2018,GOOG,1.016911185
6/11/2018,GOOG,1.045389829
6/18/2018,GOOG,1.048311152
6/25/2018,GOOG,1.012175357
7/2/2018,GOOG,1.034421187
7/9/2018,GOOG,1.078558892
7/16/2018,GOOG,1.075011618
7/23/2018,GOOG,1.123631204
7/30/2018,GOOG,1.110212917
8/6/2018,GOOG,1.122823737
8/13/2018,GOOG,1.089572941
8/20/2018,GOOG,1.107436784
8/27/2018,GOOG,1.105204869
9/3/2018,GOOG,1.056793933
9/10/2018,GOOG,1.063779837
9/17/2018,GOOG,1.05793708
9/24/2018,GOOG,1.082777635
10/1/2018,GOOG,1.050007709
10/8/2018,GOOG,1.007121904
10/15/2018,GOOG,0.994765141
10/22/2018,GOOG,0.97209293
10/29/2018,GOOG,0.959681789
11/5/2018,GOOG,0.967266399
11/12/2018,GOOG,0.963038576
11/19/2018,GOOG,0.928916854
11/26/2018,GOOG,0.992923504
12/3/2018,GOOG,0.940438905
12/10/2018,GOOG,0.945446953
12/17/2018,GOOG,0.88868929
12/24/2018,GOOG,0.940892531
12/31/2018,GOOG,0.97140341
1/7/2019,GOOG,0.959137349
1/14/2019,GOOG,0.996398238
1/21/2019,GOOG,0.9898025
1/28/2019,GOOG,1.007729802
2/4/2019,GOOG,0.993495077
2/11/2019,GOOG,1.010360854
2/18/2019,GOOG,1.007385042
2/25/2019,GOOG,1.035165084
3/4/2019,GOOG,1.036371689
3/11/2019,GOOG,1.074603288
3/18/2019,GOOG,1.093691899
3/25/2019,GOOG,1.064487521
4/1/2019,GOOG,1.095188886
4/8/2019,GOOG,1.104914598
4/15/2019,GOOG,1.121698754
4/22/2019,GOOG,1.15418749
4/29/2019,GOOG,1.075456162
5/6/2019,GOOG,1.05628593
5/13/2019,GOOG,1.054498671
5/20/2019,GOOG,1.028342534
5/27/2019,GOOG,1.001270175
6/3/2019,GOOG,0.967166615
6/10/2019,GOOG,0.984685588
6/17/2019,GOOG,1.017827518
6/24/2019,GOOG,0.980657443
7/1/2019,GOOG,1.026636897
7/8/2019,GOOG,1.038712469
7/15/2019,GOOG,1.025285101
7/22/2019,GOOG,1.134436603
7/29/2019,GOOG,1.083249423
8/5/2019,GOOG,1.077824076
8/12/2019,GOOG,1.068379555
8/19/2019,GOOG,1.044509821
8/26/2019,GOOG,1.077905698
9/2/2019,GOOG,1.093174815
9/9/2019,GOOG,1.124592945
9/16/2019,GOOG,1.115856107
9/23/2019,GOOG,1.111464929
9/30/2019,GOOG,1.09686728
10/7/2019,GOOG,1.102719009
10/14/2019,GOOG,1.129972885
10/21/2019,GOOG,1.147791321
10/28/2019,GOOG,1.155602745
11/4/2019,GOOG,1.18974263
11/11/2019,GOOG,1.211063044
11/18/2019,GOOG,1.175199359
11/25/2019,GOOG,1.183927116
12/2/2019,GOOG,1.216279741
12/9/2019,GOOG,1.222820991
12/16/2019,GOOG,1.224417763
