Date,GOOG,APPL,AMZN,TSLA,NFLX,FB,SBUX
2015-04-29,1698800,63386100,3621700,3936100,1362100,26430300,7162000
2015-04-30,2082200,83195400,3647900,3911900,1509300,28999000,8492000
2015-05-01,1768200,58512600,3565800,5281700,1272300,24136400,5916500
2015-05-04,1308000,50988300,2270400,4434600,1138200,14692000,7493400
2015-05-05,1383100,49271400,2856400,5796900,3873800,22311300,10691200
2015-05-06,1567000,72141000,2552500,5270900,1643500,28663000,8033500
2015-05-07,1546300,43940900,2766100,9455900,1460100,19749400,5681400
2015-05-08,1527600,55550400,2908800,4668200,1975500,19943600,6039800
2015-05-11,905300,42035800,2393700,5672300,3411800,18874100,5047200
2015-05-12,1634200,48160000,1947800,6363400,1701000,21285300,5868600
2015-05-13,1252300,34694200,1996300,5440200,1593700,21512300,4927100
2015-05-14,1403900,45203500,1888500,2895900,1271200,49438000,7339700
2015-05-15,1971300,38208000,4240300,4527600,5293300,27069900,6016700
2015-05-18,1998600,50882900,2268700,3348000,2111700,21613700,8961700
2015-05-19,1966900,44633200,2464200,3674200,2728800,17955400,6976100
2015-05-20,1430800,36454900,2196200,3755600,1822400,23056900,5644700
2015-05-21,1462700,39730400,4121400,1970600,1823900,13402700,5084000
2015-05-22,1176200,45596000,2020600,2223100,1066600,19567900,5857700
2015-05-26,2406500,70697600,2244200,3498700,1378000,16321300,7369900
2015-05-27,1525000,45833200,2231100,3408200,1500900,14160900,6213600
2015-05-28,1029800,30733300,1912400,3647300,1117400,11982000,5874400
2015-05-29,2584900,50884500,3008600,3781700,1769000,16134600,9362700
2015-06-01,1904300,32112800,2253300,2505100,1418000,18119000,7075100
2015-06-02,1934700,33667600,1668900,2125800,1073200,18923300,7859200
2015-06-03,1717000,30889400,2727900,1781500,891100,31594700,5522700
2015-06-04,1348300,38450100,2510800,2453600,1439200,20863900,6230800
2015-06-05,1388200,35626800,1907900,3022000,1660600,16143100,7123200
2015-06-08,1520600,52674800,2166900,5001200,1591000,16915500,6297600
2015-06-09,1455300,56075400,2288700,2611100,3146400,16497500,5034000
2015-06-10,1815000,39087300,2172300,3454500,8160200,21531200,8003600
2015-06-11,1217500,35390900,2922500,2044100,3803300,18656800,6030200
2015-06-12,955800,36886200,2054400,1422300,1468400,11417900,5236700
2015-06-15,1632700,43988900,2051000,2186200,2722000,18805100,5555000
2015-06-16,1071800,31494100,2296400,1984700,2291900,13693700,6106500
2015-06-17,1294200,32918100,2185900,5512900,1415000,18350300,6735300
2015-06-18,1833100,35407200,3378400,2782700,1280400,26782600,10711000
2015-06-19,1893500,54716900,4495100,2463000,2830700,23353200,10609700
2015-06-22,1250300,34039300,1823600,4561100,2390400,29383100,7100700
2015-06-23,1197500,30268900,3245000,3870800,2232300,50667900,5679000
2015-06-24,1286600,55280900,2620800,2412300,11019800,41370200,5525000
2015-06-25,1335700,31938100,2237500,2849200,5946200,27302000,5389900
2015-06-26,2109100,44066800,2624500,3838400,4330700,38214600,6637200
2015-06-29,1937800,49161400,2753200,3478900,3510800,35957900,6534100
2015-06-30,2235600,44370700,2596900,3086900,2411500,23016500,9794000
2015-07-01,1961000,30238800,1987100,2101200,2099900,25260000,6107700
2015-07-02,1235900,27211000,1343400,7163900,1579000,16908800,5684700
2015-07-06,1280500,28060400,1903200,4121900,1686900,24635900,5396400
2015-07-07,1597200,46946800,3454200,6105100,3081900,33059900,9462300
2015-07-08,1296700,60761600,2383100,6221100,1855800,24399300,8139300
2015-07-09,1842300,77821600,2271400,3334100,2390200,23144200,7681000
2015-07-10,1956700,61354500,2401000,2610900,3090900,23245900,8087800
2015-07-13,2206500,41440500,3956800,2960300,4743600,29976700,7477200
2015-07-14,3244100,31768100,4736200,1907600,2819500,26627800,7028000
2015-07-15,1784600,33649200,2987400,2021600,30898600,30886600,8212600
2015-07-16,4768300,36222400,4095600,1616000,63461000,21804100,7305500
2015-07-17,11164900,46164700,4932200,5004100,25136900,54001600,8715400
2015-07-20,5860900,58900200,4752500,4978500,22676900,54860500,7970800
2015-07-21,3377200,76756400,3181800,6108700,14085400,39453300,6717500
2015-07-22,3929300,115450600,3114900,3105000,10500500,28299500,6876100
2015-07-23,3029100,50999500,9374400,2227200,8306800,29418800,12439200
2015-07-24,3625700,42162300,21909400,2836500,8125100,33444900,14559700
2015-07-27,2675400,44455500,7491000,4694200,11302600,38585400,8993500
2015-07-28,1727300,33618100,5273100,3895800,11155900,35236000,8689200
2015-07-29,1575100,37011700,3752600,2790100,6695600,64648300,8470500
2015-07-30,1474200,33628300,3743100,2034600,14229200,86211300,7337900
2015-07-31,1706100,42885000,3025600,2222600,16349100,46509000,6519500
2015-08-03,1304500,69976000,3014200,2553500,10144800,29343100,7664000
2015-08-04,1490900,124138600,2934600,2352500,29653300,20136000,9113100
2015-08-05,2334300,99312600,2889400,6214300,26946500,29813200,7349100
2015-08-06,1572600,52903000,3820500,14623800,24716700,42271300,11064500
2015-08-07,1403900,38670400,3969200,5073400,17360700,23199100,7782000
2015-08-10,1809200,54951600,2615900,4185900,13424600,21624200,12029200
2015-08-11,5000900,97082800,2657900,4253300,11047600,22491000,8017600
2015-08-12,2936700,101217500,3962300,3728000,13822500,27050500,10064400
2015-08-13,1810700,48535800,2895200,4689200,15284400,17451800,6731500
2015-08-14,1069900,42929500,1983200,4351700,8631900,15929700,4790900
2015-08-17,1051700,40884700,2581700,7176700,9233800,18313500,5768400
2015-08-18,1456100,34560700,2071300,4195000,9382000,22278800,5575400
2015-08-19,2134100,47445700,2324000,3604300,10115300,23156500,6044200
2015-08-20,2855300,68501600,4408000,4905800,28045300,44598200,7470900
2015-08-21,4265200,128275500,6706500,6590200,33228300,62778700,20211500
2015-08-24,5770300,162206300,10097600,9581600,59951900,83710700,27158800
2015-08-25,3538000,103601600,5679300,4327300,37620700,52021200,19659000
2015-08-26,4235900,96774600,6358600,4963000,36164600,45124300,15517600
2015-08-27,3491300,84616100,6114500,7656000,37056100,42431400,15987900
2015-08-28,1978700,53164400,2746700,5513700,20240200,33215900,7584800
2015-08-31,2161200,56229300,2983000,4680800,16855800,32850700,7891600
2015-09-01,3702100,76845900,3864500,5454800,35977100,36097400,13424900
2015-09-02,2575600,61888800,3707100,4629200,39843300,27190500,9891100
2015-09-03,1759600,53233900,3149700,4194800,29546700,27048200,7968900
2015-09-04,2089000,49996300,2692500,3689200,24212000,27328700,6994300
2015-09-08,2279500,54843600,3810700,3138200,43479700,27012500,8051700
2015-09-09,1693900,85010800,4338700,3384700,35416300,32551100,8347400
2015-09-10,1905300,62892800,2576000,2709000,21031900,26437400,8924800
2015-09-11,1373500,49915500,3227900,2350800,17373900,21185000,8363100
2015-09-14,1702300,58363400,3130200,2890900,15546000,20127900,5463900
2015-09-15,2082100,43341200,2845600,2929300,22299200,18859400,6737300
2015-09-16,1286500,37173500,2252800,4417100,28058200,16321200,6593400
2015-09-17,2274700,64112600,4169500,3585800,25817700,27841800,7525300
2015-09-18,5087600,74285300,6125600,3739800,21594400,62300000,16167600
2015-09-21,1788500,50222000,3283300,6120200,17900600,28790000,6220100
2015-09-22,2562900,50346200,3841700,3664400,16717900,36888900,8585100
2015-09-23,1470900,35756700,2237600,2600800,10264500,21701400,6829200
2015-09-24,2240100,50219500,3501000,3448200,21274500,29106000,10027300
2015-09-25,2174000,56151900,4031000,3773400,19066600,28961600,10627000
2015-09-28,3127700,52109000,5434500,4901100,17026600,41199900,11548100
2015-09-29,2309500,73365400,4457500,3703200,17405900,42281800,9392100
2015-09-30,2403800,66473000,3990400,4923300,16971300,36169100,9776200
2015-10-01,1867600,63929100,3768500,4573000,17426900,29283700,8497100
2015-10-02,2684800,58019800,4597800,4424000,21526700,37881700,9036800
2015-10-05,1803600,52064700,3391400,3689900,21157900,27292500,8199000
2015-10-06,2166300,48196800,4502800,5225200,20629800,22172800,5538000
2015-10-07,2092700,46765600,3812100,6814000,12329500,24129300,8138300
2015-10-08,2182100,61979600,4676400,6133200,42831900,27290500,6834800
2015-10-09,1648700,52766100,3537400,6158400,22455200,20012900,7969900
2015-10-12,1275200,30467200,2776100,3836300,12624500,18449600,6430300
2015-10-13,1807700,33049300,2938000,5171500,17512100,19480300,6262800
2015-10-14,1415500,44462400,3582100,3104400,33231500,19253400,8365600
2015-10-15,1885700,37673500,4937000,2844200,48484300,27557500,9745900
2015-10-16,1611100,39232600,4315800,4334500,21340500,25412900,12860800
2015-10-19,1477300,29759200,4375400,2507900,29964700,23729900,8117200
2015-10-20,2490000,48778800,4327900,14863300,17285300,30700500,6061000
2015-10-21,1791100,41795200,3343600,4151500,13728500,21917800,6055300
2015-10-22,4071000,41654100,7779400,2825200,12786800,26392100,9182000
2015-10-23,6653900,59366900,10692700,4235500,18019900,42809700,8206000
2015-10-26,2716600,66333800,4269700,3391400,12234800,25961200,9751700
2015-10-27,2245800,69884400,3787100,3519400,12066400,23795500,8973200
2015-10-28,2178900,85551400,3926200,2728600,13094000,24081500,9627300
2015-10-29,1454100,51227300,3858600,1782400,9802700,20316700,14014800
2015-10-30,1908800,49365300,3874400,4438900,15571500,33487100,16822300
2015-11-02,1886300,32203300,2816500,3927900,11784600,24003900,8547200
2015-11-03,1565400,45519000,3246900,8332500,12484100,21242300,8847700
2015-11-04,1704600,44886100,4831800,12706700,17207500,43469300,9067300
2015-11-05,1861600,39552700,4723800,4496800,13814900,63232900,6145000
2015-11-06,1511600,33042300,4092200,2445300,10936600,35084300,6616300
2015-11-09,2069800,33871400,4048800,3850900,16154600,26383500,6838300
2015-11-10,1608000,59127900,3489500,4617000,11166400,25031700,6689000
2015-11-11,1366400,45218000,5387300,3347800,11039200,25057100,4437300
2015-11-12,1837200,32525600,4284700,2915900,17568200,20924700,6793800
2015-11-13,2075500,45812400,6261100,3430300,18819400,30278400,8821600
2015-11-16,1905900,38106700,7435900,2925400,19866200,49309200,8096600
2015-11-17,1510900,27616900,4320200,2148700,33016300,26807200,6695300
2015-11-18,1684300,46674700,4469800,2811900,23353600,23836500,7215300
2015-11-19,1327100,43295800,4705200,2504400,19253200,25520600,5154400
2015-11-20,2212300,34287100,3896100,4400700,17977000,22129600,8302500
2015-11-23,1414500,32482500,4385100,2526200,15727000,19897200,8493500
2015-11-24,2333100,42803200,4543400,2480300,18335300,23577300,7908200
2015-11-25,1122100,21388300,2697900,3990800,10980700,15150800,4549900
2015-11-27,838500,13046400,1966800,1949400,6645500,5913100,2447900
2015-11-30,2097600,39180300,5693200,2659800,13894000,20383200,9863800
2015-12-01,2134600,34852400,4751200,3734000,12550800,22781900,10910800
